burnin	sample_size	asdsf	psrf_tree_length	psrf_root_height	psrf_root_pop_size	ess_tree_length	ess_root_height	ess_root_pop_size
1	6000	0.0100968	1.00437	1.00578	1.00061	561.078	510.362	1164.36
101	5600	0.00919807	1.0005	1.00109	1.00072	1559.35	1355.05	943.532
201	5200	0.00934073	0.999967	1.00028	1.00026	1667.86	1391.76	1091.25
301	4800	0.00861836	1.00019	1.00071	1.00027	1684.37	1538.8	985.953
401	4400	0.0088828	1.0004	1.00118	1.00082	1523.88	1358.56	865.223
501	4000	0.0109959	1.00231	1.00317	1.00226	1207.2	1067.46	897.208
601	3600	0.0105226	1.00464	1.00558	1.00242	1439.17	1171.66	816.354
701	3200	0.0113964	1.00584	1.00728	1.00503	955.667	796.888	611.316
801	2800	0.0124932	1.00761	1.00924	1.00812	766.245	708.327	612.286
901	2400	0.0155171	1.00628	1.00822	1.00753	870.181	698.155	634.201
1001	2000	0.0173652	1.0056	1.00874	1.0083	553.268	505.993	450.036
1101	1600	0.0185453	1.00784	1.01091	1.00841	540.942	429.984	424.32
1201	1200	0.0176997	1.00433	1.00549	1.01137	442.59	406.633	288.246
1301	800	0.0218634	1.01391	1.01288	1.01959	262.872	258.65	201.571
1401	400	0.0406067	1.01411	1.01072	1.05076	142.166	123.583	74.695
